sid,qid,block,query,뉴스 식별자,일자,언론사,사건/사고 분류1,year,label,ev_date,ev_place,ev_object,event_id
S00444,Q01,산업,불산 누출,2100801.202307251,20230725,아시아경제,사고>산업사고>화재,2023,IRRELEVANT,,,,
S00445,Q22,비CBRN,사제폭탄,1500401.202305242,20230524,국제신문,사회>사회갈등>테러행위,2023,INST,,,,
S00446,Q01,산업,불산 누출,1400801.202510301,20251030,금강일보,,2025,INST,,,,
S00447,Q30,비CBRN,원전 방사선 피폭,8100101.202405071,20240507,KBS,,2024,OTHER,,,,
S00448,Q21,비CBRN,폭발물 테러,8100401.20260221,20260221,YTN,사회>사회갈등>테러행위,2026,INST,,,,
S00449,Q26,비CBRN,폭발물 협박,1100201.202603071,20260307,국민일보,범죄>범죄일반>살인,2026,OTHER,,,,
S00450,Q09,산업,유독가스 누출 대피,1200301.202509061,20250906,기호일보,사고>스포츠사고,2025,EVENT,20250905,김포시 하성면,암모니아,483.0
S00451,Q05,산업,화학공장 폭발,1100101.202209132,20220913,경향신문,범죄>범죄일반>방화,2022,OTHER,,,,
S00452,Q20,안보,북한 생화학무기,2100501.202303012,20230301,파이낸셜뉴스,,2023,OTHER,,,,
S00453,Q16,안보,방사능 유출,4100958.202308231,20230823,EBN,사고>산업사고>원자력사고,2023,INST,,,,
S00454,Q08,산업,질산 누출,1400351.202511052,20251105,중도일보,,2025,EVENT,20251105,포항시 남구,유해가스,513.0
S00455,Q26,비CBRN,폭발물 협박,1100501.20251112,20251112,문화일보,,2025,EVENT,20251109,서울 용산구,폭발물 설치 협박,523.0
S00456,Q24,비CBRN,총기 난사,2100801.202205262,20220526,아시아경제,,2022,IRRELEVANT,,,,
S00457,Q22,비CBRN,사제폭탄,4100158.202402081,20240208,데일리안,사회>사회갈등>테러행위,2024,EVENT,20240208,카이버 파크툰크와,무장괴한 공격,273.0
S00458,Q15,안보,북한 핵실험,1100501.202209071,20220907,문화일보,,2022,INST,,,,
S00459,Q08,산업,질산 누출,8100101.202309092,20230909,KBS,,2023,EVENT,20230909,군산시,질산 폐기물,222.0
S00460,Q25,비CBRN,차량 돌진 테러,2100351.20250428,20250428,이투데이,사고>교통사고>노상사고,2025,EVENT,20250426,밴쿠버,차량 돌진,419.0
S00461,Q05,산업,화학공장 폭발,1100611.202411261,20241126,서울신문,사고>산업사고>폭발,2024,IRRELEVANT,,,,
S00462,Q13,안보,생물테러,4104008.202411051,20241105,프레시안,,2024,INST,,,,
S00463,Q24,비CBRN,총기 난사,8100201.202312221,20231222,MBC,사회>사회갈등>테러행위,2023,EVENT,20231221,프라하,총기 난사,257.0
S00464,Q26,비CBRN,폭발물 협박,1101202.20230818,20230818,일요신문,범죄>범죄일반>살인,2023,EVENT,20230817,,폭파 협박 이메일,206.0
S00465,Q01,산업,불산 누출,1200301.202111291,20211129,기호일보,,2021,INST,,,,
S00466,Q24,비CBRN,총기 난사,1100801.202307101,20230710,조선일보,범죄>범죄일반>살인,2023,EVENT,20230708,뉴욕 브루클린,총격,157.0
S00467,Q16,안보,방사능 유출,2100701.2023092,20230920,헤럴드경제,범죄>범죄일반>유괴/납치,2023,IRRELEVANT,,,,
S00468,Q08,산업,질산 누출,4100078.202511051,20251105,뉴스핌,,2025,INST,,,,
S00469,Q15,안보,북한 핵실험,1100501.202204111,20220411,문화일보,,2022,OTHER,,,,
S00470,Q22,비CBRN,사제폭탄,2100701.20260308,20260308,헤럴드경제,범죄>범죄일반>폭행,2026,REF,,,,
S00471,Q23,비CBRN,드론 공격,8100401.202603311,20260331,YTN,사고>산업사고>화재,2026,OTHER,,,,
S00472,Q23,비CBRN,드론 공격,1100611.202410031,20241003,서울신문,사회>사회갈등>전쟁,2024,OTHER,,,,
S00473,Q02,산업,암모니아 누출 사고,8100401.202509051,20250905,YTN,사고>스포츠사고,2025,EVENT,20250905,김포시 하성면,암모니아,483.0
S00474,Q27,비CBRN,테러 예고 글,2100501.20260713,20260713,파이낸셜뉴스,,2026,IRRELEVANT,,,,
S00475,Q24,비CBRN,총기 난사,1100751.20251217,20251217,아시아투데이,사고>교통사고>노상사고,2025,EVENT,20251214,시드니,총기 난사,540.0
S00476,Q02,산업,암모니아 누출 사고,1500051.202604151,20260415,경남신문,사고>산업사고>화재,2026,INST,,,,
S00477,Q16,안보,방사능 유출,8100101.202209112,20220911,KBS,사회>사회갈등>전쟁,2022,EVENT,20220911,자포리자,원전 가동 중단,82.0
S00478,Q05,산업,화학공장 폭발,4102008.202406242,20240624,쿠키뉴스,범죄>범죄일반>방화,2024,OTHER,,,,
S00479,Q19,안보,노비촉,2100801.202307091,20230709,아시아경제,사회>사회갈등>대량학살,2023,OTHER,,,,
S00480,Q20,안보,북한 생화학무기,1500601.202409111,20240911,매일신문,범죄>범죄일반>방화,2024,OTHER,,,,
S00481,Q02,산업,암모니아 누출 사고,8200101.202606301,20260630,OBS,사고>스포츠사고,2026,EVENT,20260630,부천시 도당동,암모니아,635.0
S00482,Q21,비CBRN,폭발물 테러,1100751.202508191,20250819,아시아투데이,,2025,INST,,,,
S00483,Q01,산업,불산 누출,1400601.202606021,20260602,충청일보,사고>산업사고>폭발,2026,INST,,,,
S00484,Q05,산업,화학공장 폭발,8100101.20211215,20211215,KBS,사고>산업사고>폭발,2021,EVENT,20211215,여수시,폭발,12.0
S00485,Q07,산업,톨루엔 누출,1100611.202301261,20230126,서울신문,사고>교통사고>노상사고,2023,EVENT,20230126,여수시,톨루엔,121.0
S00486,Q20,안보,북한 생화학무기,8100401.202406011,20240601,YTN,,2024,OTHER,,,,
S00487,Q05,산업,화학공장 폭발,8100101.202112141,20211214,KBS,사고>산업사고>폭발,2021,EVENT,20211214,여수시,폭발,12.0
S00488,Q17,안보,더티밤,1100101.202307051,20230705,경향신문,사고>산업사고>원자력사고,2023,OTHER,,,,
S00489,Q23,비CBRN,드론 공격,2100351.202605151,20260515,이투데이,사고>산업사고>폭발,2026,EVENT,20260515,호르무즈 해협,드론 미사일 피격,608.0
S00490,Q10,산업,화학사고 대응,7100502.202203071,20220307,환경일보,,2022,INST,,,,
S00491,Q19,안보,노비촉,1101101.202602151,20260215,한국일보,범죄>범죄일반>살인,2026,EVENT,20240216,러시아,독극물 살해,275.0
S00492,Q04,산업,황산 유출 사고,8100401.202601211,20260121,YTN,,2026,EVENT,20260121,제주시 용담동,황산,563.0
S00493,Q24,비CBRN,총기 난사,2100051.202305071,20230507,대한경제,,2023,EVENT,20230506,텍사스 앨런,총기 난사,146.0
S00494,Q17,안보,더티밤,8100201.20221026,20221026,MBC,,2022,OTHER,,,,
S00495,Q15,안보,북한 핵실험,7100501.20230102,20230102,전자신문,,2023,IRRELEVANT,,,,
S00496,Q21,비CBRN,폭발물 테러,2100101.20250806,20250806,매일경제,,2025,EVENT,20250805,서울 중구,폭파 협박글,455.0
S00497,Q18,안보,백색가루 신고,2100501.202208281,20220828,파이낸셜뉴스,범죄>범죄일반>마약,2022,IRRELEVANT,,,,
S00498,Q15,안보,북한 핵실험,8100401.202210052,20221005,YTN,,2022,IRRELEVANT,,,,
S00499,Q30,비CBRN,원전 방사선 피폭,1500701.20230729,20230729,부산일보,사고>산업사고>붕괴,2023,OTHER,,,,
S00500,Q07,산업,톨루엔 누출,1100611.202302231,20230223,서울신문,사고>산업사고>폭발,2023,INST,,,,
S00501,Q28,비CBRN,다중이용시설 테러,4100078.202308161,20230816,뉴스핌,사회>사회갈등>테러행위,2023,EVENT,20230816,부산,폭탄테러 예고글,199.0
S00502,Q14,안보,탄저균 테러,4101008.202311011,20231101,이데일리,,2023,OTHER,,,,
S00503,Q26,비CBRN,폭발물 협박,8100401.202403202,20240320,YTN,사회>사회갈등>테러행위,2024,EVENT,20240320,서울 구로구,폭탄 테러 협박 메일,299.0
S00504,Q07,산업,톨루엔 누출,4100058.202301261,20230126,노컷뉴스,,2023,EVENT,20230126,여수시,톨루엔,121.0
S00505,Q16,안보,방사능 유출,1100501.202209071,20220907,문화일보,사고>산업사고>원자력사고,2022,OTHER,,,,
S00506,Q22,비CBRN,사제폭탄,8100301.202408222,20240822,SBS,사회>사회갈등>테러행위,2024,EVENT,20240822,광주,사제폭탄,349.0
S00507,Q30,비CBRN,원전 방사선 피폭,4400108.202307121,20230712,헬로디디,,2023,OTHER,,,,
S00508,Q23,비CBRN,드론 공격,8100401.202512141,20251214,YTN,사회>사회갈등>전쟁,2025,EVENT,20251214,오데사,미사일 공습,541.0
S00509,Q03,산업,염소 가스 누출,1200201.202308011,20230801,경인일보,사고>산업사고>폭발,2023,EVENT,20230731,인천 서구 석남동,저장탱크 폭발,171.0
S00510,Q09,산업,유독가스 누출 대피,8100401.202406241,20240624,YTN,범죄>범죄일반>방화,2024,EVENT,20240624,화성시,화재,328.0
S00511,Q15,안보,북한 핵실험,1100201.20211018,20211018,국민일보,사회>사회갈등>시위,2021,OTHER,,,,
S00512,Q11,안보,화학무기 사용,1100751.20220821,20220821,아시아투데이,,2022,OTHER,,,,
S00513,Q04,산업,황산 유출 사고,8100101.202508182,20250818,KBS,범죄>범죄일반>방화,2025,EVENT,20250818,정읍시,황산,470.0
S00514,Q26,비CBRN,폭발물 협박,1500701.20250806,20250806,부산일보,,2025,EVENT,20250805,서울 중구,폭파 협박글,455.0
S00515,Q11,안보,화학무기 사용,1100801.202506162,20250616,조선일보,,2025,OTHER,,,,
S00516,Q20,안보,북한 생화학무기,1100611.20240605,20240605,서울신문,,2024,OTHER,,,,
S00517,Q14,안보,탄저균 테러,1101101.202307281,20230728,한국일보,사회>사회갈등>테러행위,2023,OTHER,,,,
S00518,Q15,안보,북한 핵실험,2100701.20220622,20220622,헤럴드경제,사고>산업사고>폭발,2022,OTHER,,,,
S00519,Q30,비CBRN,원전 방사선 피폭,2100501.202410291,20241029,파이낸셜뉴스,,2024,OTHER,,,,
S00520,Q10,산업,화학사고 대응,1600451.202410181,20241018,남도일보,사고>교통사고>해상사고,2024,INST,,,,
S00521,Q02,산업,암모니아 누출 사고,1400501.202510141,20251014,중부일보,사고>산업사고>화재,2025,EVENT,20251014,오산시 부산동,암모니아,502.0
S00522,Q28,비CBRN,다중이용시설 테러,10100101.202408193,20240819,스포츠서울,사회>사회갈등>전쟁,2024,INST,,,,
S00523,Q08,산업,질산 누출,1300201.202211151,20221115,강원일보,,2022,INST,,,,
S00524,Q18,안보,백색가루 신고,10100301.20260128,20260128,스포츠한국,,2026,INST,,,,
S00525,Q10,산업,화학사고 대응,1100751.202206011,20220601,아시아투데이,사고>교통사고>해상사고,2022,INST,,,,
S00526,Q19,안보,노비촉,1100101.20220322,20220322,경향신문,,2022,OTHER,,,,
S00527,Q16,안보,방사능 유출,2100701.20260328,20260328,헤럴드경제,사회>사회갈등>전쟁,2026,EVENT,20260327,이란,핵시설 공습,587.0
S00528,Q08,산업,질산 누출,1100611.202407011,20240701,서울신문,,2024,EVENT,20240701,안동시 임동면,질산,337.0
S00529,Q03,산업,염소 가스 누출,4100608.20241115,20241115,브레이크뉴스,,2024,INST,,,,
S00530,Q12,안보,사린가스 공격,2100701.202304191,20230419,헤럴드경제,범죄>범죄일반>폭행,2023,OTHER,,,,
S00531,Q29,비CBRN,공항 폭발물 신고,2100801.202211261,20221126,아시아경제,,2022,EVENT,20221125,시카고,폭발물 허위신고,109.0
S00532,Q18,안보,백색가루 신고,4100058.20220613,20220613,노컷뉴스,,2022,IRRELEVANT,,,,
S00533,Q23,비CBRN,드론 공격,4100078.202604022,20260402,뉴스핌,사회>사회갈등>전쟁,2026,IRRELEVANT,,,,
S00534,Q04,산업,황산 유출 사고,1601001.202309191,20230919,전북도민일보,,2023,EVENT,20230919,군산시 오식도동,황산,231.0
S00535,Q29,비CBRN,공항 폭발물 신고,1101101.202304181,20230418,한국일보,,2023,EVENT,20230414,제주공항,폭발물 허위신고,136.0
S00536,Q29,비CBRN,공항 폭발물 신고,2100801.202205081,20220508,아시아경제,,2022,EVENT,20220506,블라디보스토크,폭발물 허위신고,44.0
S00537,Q01,산업,불산 누출,4100078.202309091,20230909,뉴스핌,,2023,EVENT,20230909,군산시 오식도동,질산 불산,229.0
S00538,Q23,비CBRN,드론 공격,1100901.202511061,20251106,중앙일보,,2025,IRRELEVANT,,,,
S00539,Q02,산업,암모니아 누출 사고,2100311.202205191,20220519,서울경제,,2022,EVENT,20220519,울산 남구,암모니아,47.0
S00540,Q20,안보,북한 생화학무기,2100501.202408271,20240827,파이낸셜뉴스,사회>사회갈등>전쟁,2024,OTHER,,,,
S00541,Q06,산업,유해화학물질 유출,7100502.202411041,20241104,환경일보,,2024,INST,,,,
S00542,Q23,비CBRN,드론 공격,2100201.202410141,20241014,머니투데이,범죄>범죄일반>절도,2024,OTHER,,,,
S00543,Q28,비CBRN,다중이용시설 테러,8100401.202503202,20250320,YTN,사고>산업사고>원자력사고,2025,INST,,,,
S00544,Q25,비CBRN,차량 돌진 테러,2100851.202603211,20260321,아주경제,,2026,OTHER,,,,
S00545,Q07,산업,톨루엔 누출,1100701.20220518,20220518,세계일보,,2022,INST,,,,
S00546,Q22,비CBRN,사제폭탄,2100501.202505141,20250514,파이낸셜뉴스,,2025,IRRELEVANT,,,,
S00547,Q27,비CBRN,테러 예고 글,1100611.202608111,20260811,서울신문,,2026,EVENT,20260810,인천 연수구,염산 테러 예고글,651.0
S00548,Q03,산업,염소 가스 누출,7100502.202209221,20220922,환경일보,사고>산업사고>폭발,2022,INST,,,,
S00549,Q08,산업,질산 누출,2100701.202309091,20230909,헤럴드경제,,2023,EVENT,20230909,군산시,질산 화합물,217.0
S00550,Q24,비CBRN,총기 난사,1500601.202210061,20221006,매일신문,,2022,EVENT,20221006,농부아람푸,총기 난사,97.0
S00551,Q23,비CBRN,드론 공격,4101008.202603041,20260304,이데일리,범죄>기업범죄>거래제한,2026,OTHER,,,,
S00552,Q08,산업,질산 누출,8100101.202507242,20250724,KBS,,2025,EVENT,20250724,전주시,질산,448.0
S00553,Q26,비CBRN,폭발물 협박,1500701.202110181,20211018,부산일보,,2021,EVENT,20211018,서울 영등포구,폭발물 설치 협박,3.0
S00554,Q26,비CBRN,폭발물 협박,1100101.202308171,20230817,경향신문,사회>사회갈등>테러행위,2023,EVENT,20230817,서울,폭파 협박 이메일,209.0
S00555,Q20,안보,북한 생화학무기,1100701.202401232,20240123,세계일보,,2024,OTHER,,,,
S00556,Q25,비CBRN,차량 돌진 테러,1101101.202308131,20230813,한국일보,사고>교통사고>노상사고,2023,REF,,,,
S00557,Q01,산업,불산 누출,1100801.202309091,20230909,조선일보,,2023,EVENT,20230909,군산시 소룡동,질산 불산,220.0
S00558,Q28,비CBRN,다중이용시설 테러,4100078.202508201,20250820,뉴스핌,사고>산업사고>화재,2025,INST,,,,
S00559,Q29,비CBRN,공항 폭발물 신고,1100701.202308071,20230807,세계일보,사회>사회갈등>테러행위,2023,EVENT,20230807,,공항 테러 예고글,190.0
S00560,Q20,안보,북한 생화학무기,2100201.20240804,20240804,머니투데이,,2024,IRRELEVANT,,,,
S00561,Q25,비CBRN,차량 돌진 테러,1100101.202308041,20230804,경향신문,범죄>범죄일반>살인,2023,EVENT,20230803,성남시 분당구,차량 돌진 흉기 난동,176.0
S00562,Q26,비CBRN,폭발물 협박,8100401.202403101,20240310,YTN,,2024,REF,,,,
S00563,Q01,산업,불산 누출,4100078.20240124,20240124,뉴스핌,,2024,REF,,,,
S00564,Q06,산업,유해화학물질 유출,7101201.202403271,20240327,디지털타임스,사고>산업사고>폭발,2024,INST,,,,
S00565,Q25,비CBRN,차량 돌진 테러,4100078.202308041,20230804,뉴스핌,,2023,EVENT,20230803,성남시 분당구,차량 돌진 흉기 난동,176.0
S00566,Q17,안보,더티밤,1100501.202210281,20221028,문화일보,,2022,IRRELEVANT,,,,
S00567,Q25,비CBRN,차량 돌진 테러,8100401.20241222,20241222,YTN,범죄>범죄일반>폭행,2024,EVENT,20241220,독일,차량 돌진,386.0
S00568,Q10,산업,화학사고 대응,1500701.202409261,20240926,부산일보,,2024,INST,,,,
S00569,Q14,안보,탄저균 테러,1400101.202604131,20260413,충청타임즈,,2026,INST,,,,
S00570,Q24,비CBRN,총기 난사,1100101.202512221,20251222,경향신문,범죄>범죄일반>방화,2025,OTHER,,,,
S00571,Q13,안보,생물테러,4101008.202512031,20251203,이데일리,,2025,INST,,,,
S00572,Q14,안보,탄저균 테러,4100078.20231101,20231101,뉴스핌,,2023,OTHER,,,,
S00573,Q08,산업,질산 누출,10100101.20260226,20260226,스포츠서울,사고>스포츠사고,2026,INST,,,,
S00574,Q18,안보,백색가루 신고,4100608.202310171,20231017,브레이크뉴스,,2023,INST,,,,
S00575,Q29,비CBRN,공항 폭발물 신고,1100801.202211261,20221126,조선일보,,2022,EVENT,20221125,시카고,폭발물 허위신고,109.0
S00576,Q26,비CBRN,폭발물 협박,8100401.20251016,20251016,YTN,,2025,EVENT,20251016,하남시,폭발물 설치 협박,503.0
S00577,Q30,비CBRN,원전 방사선 피폭,1100201.202307071,20230707,국민일보,사고>산업사고>원자력사고,2023,INST,,,,
S00578,Q09,산업,유독가스 누출 대피,2100311.202606011,20260601,서울경제,사고>산업사고>화재,2026,EVENT,20260601,청주시,화재 유독가스,625.0
S00579,Q28,비CBRN,다중이용시설 테러,1200101.202506181,20250618,경기일보,,2025,INST,,,,
S00580,Q28,비CBRN,다중이용시설 테러,1100501.2026082,20260820,문화일보,사고>산업사고>폭발,2026,INST,,,,
S00581,Q09,산업,유독가스 누출 대피,2100201.202202211,20220221,머니투데이,사고>산업사고>폭발,2022,IRRELEVANT,,,,
S00582,Q11,안보,화학무기 사용,2100351.202203131,20220313,이투데이,사회>사회갈등>전쟁,2022,IRRELEVANT,,,,
S00583,Q09,산업,유독가스 누출 대피,2100351.202307311,20230731,이투데이,사고>산업사고>화재,2023,OTHER,,,,
S00584,Q04,산업,황산 유출 사고,1400201.202607271,20260727,대전일보,,2026,EVENT,20260727,서천군,황산,647.0
S00585,Q03,산업,염소 가스 누출,4100058.202504281,20250428,노컷뉴스,,2025,EVENT,20250411,강릉시,염소가스,416.0
S00586,Q05,산업,화학공장 폭발,6100252.20240902,20240902,시사IN,사고>산업사고>폭발,2024,REF,,,,
S00587,Q14,안보,탄저균 테러,1400601.202510281,20251028,충청일보,,2025,INST,,,,
S00588,Q15,안보,북한 핵실험,2100801.20250612,20250612,아시아경제,,2025,IRRELEVANT,,,,
S00589,Q14,안보,탄저균 테러,2100861.202408292,20240829,브릿지경제,,2024,INST,,,,
S00590,Q02,산업,암모니아 누출 사고,1600451.202507011,20250701,남도일보,,2025,EVENT,20250701,여수시,암모니아,441.0
S00591,Q29,비CBRN,공항 폭발물 신고,4100058.202410161,20241016,노컷뉴스,,2024,EVENT,20241015,인도,폭탄 위협,373.0
S00592,Q21,비CBRN,폭발물 테러,7100502.202308071,20230807,환경일보,사회>사회갈등>테러행위,2023,INST,,,,
S00593,Q04,산업,황산 유출 사고,1100611.202209221,20220922,서울신문,사고>산업사고>폭발,2022,EVENT,20220922,여수시,유독가스,83.0
S00594,Q15,안보,북한 핵실험,2100101.202302221,20230222,매일경제,,2023,INST,,,,
S00595,Q27,비CBRN,테러 예고 글,2100601.20250912,20250912,한국경제,범죄>범죄일반>폭행,2025,IRRELEVANT,,,,
S00596,Q13,안보,생물테러,1601001.202306282,20230628,전북도민일보,,2023,INST,,,,
S00597,Q22,비CBRN,사제폭탄,2100101.202508171,20250817,매일경제,범죄>범죄일반>방화,2025,REF,,,,
S00598,Q17,안보,더티밤,8100201.20221027,20221027,MBC,,2022,INST,,,,
S00599,Q22,비CBRN,사제폭탄,2100601.202308181,20230818,한국경제,사회>사회갈등>테러행위,2023,OTHER,,,,
S00600,Q10,산업,화학사고 대응,1400351.202404242,20240424,중도일보,,2024,INST,,,,
S00601,Q26,비CBRN,폭발물 협박,10100401.202508152,20250815,스포츠월드,,2025,EVENT,20250815,안동시,폭발물 협박,468.0
S00602,Q16,안보,방사능 유출,1100611.20250624,20250624,서울신문,사회>사회갈등>전쟁,2025,IRRELEVANT,,,,
S00603,Q19,안보,노비촉,1100401.20240308,20240308,동아일보,사회>사회갈등>시위,2024,OTHER,,,,
S00604,Q16,안보,방사능 유출,1100401.20240923,20240923,동아일보,사고>산업사고>원자력사고,2024,REF,,,,
S00605,Q10,산업,화학사고 대응,4101008.202603271,20260327,이데일리,,2026,INST,,,,
S00606,Q19,안보,노비촉,1100901.20220306,20220306,중앙일보,,2022,OTHER,,,,
S00607,Q21,비CBRN,폭발물 테러,1501001.202607122,20260712,대구신문,,2026,INST,,,,
S00608,Q03,산업,염소 가스 누출,2100501.20251211,20251211,파이낸셜뉴스,,2025,INST,,,,
S00609,Q10,산업,화학사고 대응,1100301.202312041,20231204,내일신문,,2023,INST,,,,
S00610,Q21,비CBRN,폭발물 테러,1101001.202608211,20260821,한겨레,,2026,IRRELEVANT,,,,
S00611,Q29,비CBRN,공항 폭발물 신고,1100401.20230808,20230808,동아일보,범죄>범죄일반>살인,2023,INST,,,,
S00612,Q28,비CBRN,다중이용시설 테러,7100502.202408211,20240821,환경일보,범죄>범죄일반>절도,2024,INST,,,,
S00613,Q08,산업,질산 누출,1400501.202603191,20260319,중부일보,사고>산업사고>폭발,2026,EVENT,20260318,수원시,질산,584.0
S00614,Q08,산업,질산 누출,1601101.202211291,20221129,전북일보,,2022,INST,,,,
S00615,Q15,안보,북한 핵실험,1100101.202506112,20250611,경향신문,,2025,IRRELEVANT,,,,
S00616,Q15,안보,북한 핵실험,1100701.202305211,20230521,세계일보,,2023,OTHER,,,,
S00617,Q26,비CBRN,폭발물 협박,1100201.202510011,20251001,국민일보,범죄>범죄일반>살인,2025,INST,,,,
S00618,Q15,안보,북한 핵실험,1100611.20221003,20221003,서울신문,사회>사회갈등>시위,2022,EVENT,20221001,동해,탄도미사일,94.0
S00619,Q01,산업,불산 누출,1100611.20240625,20240625,서울신문,사고>산업사고>폭발,2024,EVENT,20240624,화성시,리튬전지 화재,336.0
S00620,Q03,산업,염소 가스 누출,2100701.202411141,20241114,헤럴드경제,,2024,INST,,,,
S00621,Q17,안보,더티밤,2100501.20221027,20221027,파이낸셜뉴스,사회>사회갈등>시위,2022,INST,,,,
S00622,Q22,비CBRN,사제폭탄,1100401.202309022,20230902,동아일보,사고>산업사고>붕괴,2023,IRRELEVANT,,,,
S00623,Q29,비CBRN,공항 폭발물 신고,1200301.202405231,20240523,기호일보,,2024,EVENT,20240523,인천시,백색가루,311.0
S00624,Q23,비CBRN,드론 공격,1501001.202603162,20260316,대구신문,,2026,IRRELEVANT,,,,
S00625,Q16,안보,방사능 유출,8100201.202202252,20220225,MBC,사회>사회갈등>전쟁,2022,EVENT,20220225,우크라이나 키예프,군사침공,16.0
S00626,Q13,안보,생물테러,2100861.20241225,20241225,브릿지경제,,2024,OTHER,,,,
S00627,Q27,비CBRN,테러 예고 글,2100201.202311241,20231124,머니투데이,범죄>범죄일반>살인,2023,INST,,,,
S00628,Q04,산업,황산 유출 사고,2100311.202204221,20220422,서울경제,,2022,EVENT,20220422,여수시,황산,39.0
S00629,Q03,산업,염소 가스 누출,1200401.202512172,20251217,인천일보,,2025,EVENT,20251217,수원시,염소가스,547.0
S00630,Q22,비CBRN,사제폭탄,7101201.202502261,20250226,디지털타임스,범죄>범죄일반>폭행,2025,IRRELEVANT,,,,
S00631,Q04,산업,황산 유출 사고,6100252.20240415,20240415,시사IN,사회>사회갈등>시위,2024,OTHER,,,,
S00632,Q24,비CBRN,총기 난사,2100801.20221124,20221124,아시아경제,범죄>범죄일반>폭행,2022,EVENT,20221122,미국 체서피크,총기난사,108.0
S00633,Q11,안보,화학무기 사용,1100801.20221008,20221008,조선일보,,2022,IRRELEVANT,,,,
S00634,Q21,비CBRN,폭발물 테러,2100201.202503101,20250310,머니투데이,범죄>범죄일반>폭행,2025,INST,,,,
S00635,Q07,산업,톨루엔 누출,1100101.202209131,20220913,경향신문,범죄>범죄일반>방화,2022,OTHER,,,,
S00636,Q15,안보,북한 핵실험,2100601.202409231,20240923,한국경제,사고>산업사고>화재,2024,OTHER,,,,
S00637,Q08,산업,질산 누출,1700401.202211151,20221115,제주일보,,2022,EVENT,20221114,제주시 한림읍,질산,107.0
S00638,Q20,안보,북한 생화학무기,2100311.2025043,20250430,서울경제,사회>사회갈등>전쟁,2025,IRRELEVANT,,,,
S00639,Q18,안보,백색가루 신고,4100608.202411021,20241102,브레이크뉴스,,2024,INST,,,,
S00640,Q08,산업,질산 누출,1601101.202309101,20230910,전북일보,,2023,EVENT,20230909,군산시,질산,221.0
S00641,Q20,안보,북한 생화학무기,1100611.202212271,20221227,서울신문,사고>교통사고>항공사고,2022,IRRELEVANT,,,,
S00642,Q13,안보,생물테러,1700201.20260324,20260324,한라일보,,2026,IRRELEVANT,,,,
S00643,Q17,안보,더티밤,8100401.202210281,20221028,YTN,,2022,OTHER,,,,
S00644,Q09,산업,유독가스 누출 대피,4101008.202403271,20240327,이데일리,사고>산업사고>폭발,2024,INST,,,,
S00645,Q26,비CBRN,폭발물 협박,8100401.202508181,20250818,YTN,범죄>범죄일반>방화,2025,REF,,,,
S00646,Q30,비CBRN,원전 방사선 피폭,1100701.202302091,20230209,세계일보,,2023,INST,,,,
S00647,Q21,비CBRN,폭발물 테러,8100401.202304161,20230416,YTN,사고>산업사고>폭발,2023,EVENT,20230415,일본 와카야마,폭발물,138.0
S00648,Q01,산업,불산 누출,1400201.202201042,20220104,대전일보,,2022,OTHER,,,,
S00649,Q28,비CBRN,다중이용시설 테러,2100801.202407121,20240712,아시아경제,범죄>범죄일반>마약,2024,INST,,,,
S00650,Q24,비CBRN,총기 난사,2100201.202405021,20240502,머니투데이,,2024,INST,,,,
S00651,Q28,비CBRN,다중이용시설 테러,2100701.202608201,20260820,헤럴드경제,사고>산업사고>폭발,2026,INST,,,,
S00652,Q22,비CBRN,사제폭탄,1100401.202408222,20240822,동아일보,범죄>범죄일반>방화,2024,EVENT,20240822,광주시 서구,사제폭발물,350.0
S00653,Q19,안보,노비촉,1100401.202203221,20220322,동아일보,사회>사회갈등>전쟁,2022,OTHER,,,,
S00654,Q08,산업,질산 누출,2100351.202402061,20240206,이투데이,,2024,EVENT,20240206,인천시 동구,유해가스,269.0
S00655,Q27,비CBRN,테러 예고 글,1200101.20250814,20250814,경기일보,사회>사회갈등>테러행위,2025,OTHER,,,,
S00656,Q15,안보,북한 핵실험,8100201.20220923,20220923,MBC,범죄>기업범죄>횡령,2022,IRRELEVANT,,,,
S00657,Q09,산업,유독가스 누출 대피,2100851.202406021,20240602,아주경제,범죄>기업범죄>반독점범죄,2024,IRRELEVANT,,,,
S00658,Q22,비CBRN,사제폭탄,1100611.202502051,20250205,서울신문,사회>사회갈등>테러행위,2025,OTHER,,,,
S00659,Q03,산업,염소 가스 누출,8100401.20240319,20240319,YTN,,2024,EVENT,20240319,의정부시,염소가스,297.0
S00660,Q05,산업,화학공장 폭발,8100401.202406242,20240624,YTN,범죄>범죄일반>방화,2024,EVENT,20240624,화성시,리튬전지 화재,336.0
S00661,Q05,산업,화학공장 폭발,2100601.202307071,20230707,한국경제,사고>산업사고>폭발,2023,INST,,,,
S00662,Q24,비CBRN,총기 난사,1100901.20240129,20240129,중앙일보,,2024,IRRELEVANT,,,,
S00663,Q30,비CBRN,원전 방사선 피폭,2100801.202506261,20250626,아시아경제,,2025,OTHER,,,,
S00664,Q21,비CBRN,폭발물 테러,7100501.202607011,20260701,전자신문,범죄>범죄일반>살인,2026,EVENT,20260629,모나코,폭발물,634.0
S00665,Q12,안보,사린가스 공격,1100611.20231015,20231015,서울신문,,2023,IRRELEVANT,,,,
